,title,writer,illustrator,genre,story,platform,thumb,url
0,뽑기로 강해진 SSS급 헌터,"개작가,삼편잡가",윤석준,소년만화,"전 재산을 쏟아부어 헌터로 각성했는데…
전투형 스킬 하나 없는 소통, 인내, 게임 탤런트뿐이라고?
헌터 사무소 영업직 인생은 이제 그만 살고 싶다고...!

간절히 바라면 이루어지는가!
인생 최악의 날, 우주로부터 최강의 스킬을 얻었다!

클래스를 뒤집는 운빨 갓겜이 시작된다.
<뽑기로 강해진 SSS급 헌터>",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=cWMZ1u/hzacf6KIXS/oFb85B8p0kdoOL2nUc3OB0&filename=th2,https://page.kakao.com/home?seriesId=57925268
1,이번 생은 가주가 되겠습니다,"앤트스튜디오,김로아","몬, 앤트스튜디오","로맨스, 판타지","“…한번 해 보자. 내가 가주가 되는 거야.”

제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아.
게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한
말그대로 제국의 역사 자체!

금수저 오브 금수저 인생 당첨!
앞으로는 탄탄대로일 거라 생각했는데….
아버지는 돌아가시고, 친척들은 문전박대,
거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야!!

분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길,
마차에 치여버리기까지!

“이건 해도 해도 너무하잖아….”

하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다?!
사랑하는 아버지를 다시 보는 것도 믿기지 않는데,
내가 아버지와 가문을 살릴 수도 있다고?

거기다 회귀 전 가문의 원수,
2황자가 대형견마냥 졸졸 쫓아다니기까지?!

좋아, 이렇게 된 거 2황자도 가문도 다 내 거다!

환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트!

**************************

[표지 및 타이틀 로고 디자인] 조정원

**************************

웹툰 [이번 생은 가주가 되겠습니다]는 매주 월요일, 주1회 연재됩니다.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=cDeRi1/hyVkDNZUdD/WyUnrIQ0gkyKdkLzL5ajh1&filename=th2,https://page.kakao.com/home?seriesId=56566288
2,묵향 다크레이디,"이재헌,전동조",구깃,소년만화,"마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들(혈교)에 의해 생전 처음 보는 생소한 이세계(판타지 세계)로 떨어지게 된다. 그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며... 무림 최고수 묵향이 원래 자신의 세상(무림)으로 돌아가기 위해 긴 모험을 떠나게 된다는 스토리.

한국의 무협소설과 판타지 문학을 사랑하는 수많은 독자들이 기다려왔던 초대형 이벤트― 웹툰계를 뒤흔들 다시없을 프로젝트가 시작된다! 
1999년부터 시작된 전설, 누계부수 300만부... 무협소설과 판타지문학을 접목시킨 기념비적인 장르소설인 [묵향]이 드디어 만화화!! 

한국 무협판타지의 한 획을 그었던 전동조 작가의 메가히트 장르소설 [묵향]을 만화화! 만화의 내용은 원작의 2부격인 [다크레이디] 편에서부터 시작한다.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=9Eoo5/hyATyGp2En/pYYjRkJJIrpHEvDible6T0&filename=th2,https://page.kakao.com/home?seriesId=53216022
3,나는 이 집 아이,시야,코튼,"로맨스, 판타지","전생의 기억이 좀 있다는 것만 빼면 평범한(?) 사생아로서 시간을 보내왔다.
그러던 어느 날, 창녀인 어머니가 열한 살이 된 나를 아버지 앞으로 데리고 갔다.

“1만 골드를 줘요.”
“2만 골드를 주지. 대신 이것에서 손 떼.”

차가운 거래에 움츠러들어 있는데 그냥 부자인 줄 알았던 아버지가, 알고 보니 제국 유일의 공작이란다.

이제 난 어떻게 되는 걸까?
내가 정말 이 집 아이일까?",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=cburiM/hy41PLVqom/1BQa5TQO17iJiSIsRTKVr0&filename=th2,https://page.kakao.com/home?seriesId=51415682
4,뒤끝작렬,조석호,안정혁,드라마만화,"“야, 착각하지마. 난 한번도 널 동생으로 생각한 적 없어. 주제를 모르고”
가슴을 파고드는 비수였다. 
한명우.
명석한 두뇌와 재벌가의 자식이었다.
다만 하늘은 모든 걸 주지않았다.
불치병 수준인 선천적 심장병.
이를 악물고 인정받기 위해 최선 또 최선을 다했다. 
그러나 아버지인 회장을 비롯해 식구 그 누구도 진심으로 대하지 않았다. 

그러던 그가 급작스런 사고를 당했다.
그리고......
치명적인 부상을 당한 대학생 김철민의 몸으로 들어갔다.
 
건강하다.
아니 건강하다못해 넘친다.
잘돌아가는 머리에 체력까지.......

이제 두 마리 토끼를 잡으러 간다.
꼭 두 마리 토끼여야 했다.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bndzff/hyQ9LQPstB/zV4B7TOWJmUWA3vdbgD5C1&filename=th2,https://page.kakao.com/home?seriesId=56063788
5,4000년 만에 귀환한 대마도사,"따개비,낙하산",김덕용(REDICE STUDIO),소년만화,"웨스트로드 아카데미의 열등생, 블레이크 가문의 수치.
괴로운 삶을 이기지 못해 죽음을 선택한
프레이 블레이크의 몸에 새로운 영혼이 깃든다.
 
“뭐야, 이 몸뚱이는?
하나부터 열까지 손 봐야겠군.”
 
대마도사 루카스 트로우맨.
 
열등생 프레이 블레이크의 육체로 복수의 기회를 얻다!
 
4000년의 시간을 넘어 귀환한
대마도사의 화려한 액션이 시작된다!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=MQg1v/hzb7BfpnWX/5GoYNrCZVkmw6Zw3txDCak&filename=th2,https://page.kakao.com/home?seriesId=54884637
6,8클래스 마법사의 회귀,류송,테스,소년만화,"황제 라그나르와 통일 제국을 위해 손에 피를 묻히길 수십 년.
나는 고향으로 돌아가 속죄하며 죽은 듯이 살고자 했다.

그러나,

“자네는 언제든지 나를, 나의 제국을 집어삼킬 수 있는 8클래스의 대마법사.”
“그런 괴물을 어찌 살려둘 수가 있겠나?”

친구이자 주군이었던 라그나르에게 배신당하고 죽음의 문턱을 넘기 직전,
시간 마법의 주문이 새겨진 단검을 심장에 찔러 넣었다.

‘내가 원했던 참회란, 모든 것을 되돌려놓는 것.’


인류 최초의 8클래스 마법사 이안 페이지.
그가 30년 전 과거로 돌아왔다.",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=HrHN1/hy41P6FJKt/FCR6J7pW8bFVRQVJx7Mlo0&filename=th2,https://page.kakao.com/home?seriesId=57140255
7,환골탈태,마고(mago),마고(mago),드라마만화,"부드러운 살가죽, 짧고 까칠한 털, 작고 조그만 발....

이 해괴하고 귀여운 생물체는 대체 무엇?!

해골(스켈레톤)은 독립하면서 아기 고양이를 기르기로 한다.

드디어 이사 날에 인간계 대행 서비스를 이용해 받은 아기 고양이!
그런데 몸에 털도 별로 없고... 아기 고양이가 원래 이렇게 생겼었나?

인간계 대행 서비스 센터는 연결이 되지 않고,
졸지에 돌연변이 아기 고양이를 떠맡은 해골!

설상가상 아기 고양이의 울음소리에 옆집에서 항의가 쏟아지는데....

아기 고양이... 키울 수 있을까?!

마계에서 벌어지는 해골과 악마 아담, 서큐버스 릴리의 좌충우돌 아기 고양이 
육아 대작전이 시작합니다!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bzScC1/hy41JR2B5d/K77hP8f4CokREaqf4T8o1K&filename=th2,https://page.kakao.com/home?seriesId=51703113
8,더는 못 본 척하지 않기로 했다,"DAMA,율비",이재현,"로맨스, 판타지","회귀하고 나서야 깨달았다.

외도를 저지른 남편은 어떻게든 다시 또 외도를 저지르고,
저 망할 내연녀는 다시 또 내 앞에 나타나고,
내 명줄은 그리 길지 않다는 걸.

""우리 이혼해요."" 

""...뭐?""

""당신에게 줄 돈은 한 푼도 없으니까 내가 사준 것들 전부 내놓고 나가세요.
저기 저 구석에 처박힌 속옷까지 전부, 다.""

""갑자기 왜 이러는 거요?""

""갑자기?""

절로 비틀린 미소가 그려졌다. 원래 염치없는 사람인 줄은 알았지만 이건 좀 심하잖아.

""그건 당신이 더 잘 알겠지, 이 하반신으로 생각하는 짐승 새끼야.""",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=woswI/hzb7tuY1cz/1DwYnd0cgZdm9OdmPHGBQK&filename=th2,https://page.kakao.com/home?seriesId=57673950
9,그 악녀를 조심하세요!,"열매,뽕따맛스크류바",푸른칸나,"로맨스, 판타지","소설 속 희대의 악녀에 빙의했다! 싫냐고? 아니? 좋은데?
공작영애 = 돈 많은 백수인 것을 내가 마다할 리가! 꿀이나 빨면서 여유롭게 살기 딱 좋지 않은가? 원작같은 건 다 떨쳐버리고 나의 삶을 사는거야!

그렇게 다짐했던 내가 이 몸에 빙의한지 얼마 되지 않아 목격한 것은 나의 약혼남이자 원작의 남주인공인 '황태자 이안'의 불륜 현장이었다. 

내가 아닌 다른 여자를 품에 안고 시시덕거리는 그를 보며 나는 눈물……따윈 개뿔, 나오지도 않더라. 내 눈물은 비싸서 저런 쓰레기에게 흘리기엔 아깝거든. 눈물 대신 깊은 빡침을 담은 목소리로 물었다.

""전하는 개자식인가요?""

고구마밭에 떨어진 역대급 사이다 여주! 환장하는 원작을 뒤집어 엎기위한 걸크러쉬 그녀!
이유? 여주가 똥차같은 남주들에게 휘둘리기엔 너무 아까웠거든.

원작 여주에게 꼬이는 똥차들을 치우는 그녀와, 그녀만을 바라보는 늑댕이 한마리의 이야기!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=b9wDps/hyVkKzLpZS/aXx0NSbjgedCXjciKvwkfk&filename=th2,https://page.kakao.com/home?seriesId=54439672
