,title,illustrator,writer,platform
0,바른쀼생활,윤박,윤박,lezhin
1,바퀴멘터리,박바퀴,박바퀴,lezhin
2,커튼콜 아래그랑,바싹탄숯,바싹탄숯,lezhin
3,꼴데툰 2021,샤다라빠,샤다라빠,lezhin
4,citrus 시트러스,사부로우타,사부로우타,lezhin
5,안나 이야기,김지효,김지효,lezhin
6,BJ 알렉스[개정판],밍과,밍과,lezhin
7,아스란히,포카,포카,lezhin
8,모모세 헬프!!,성원,성원,lezhin
9,이토록 다채로운 핏빛,므앵갱,므앵갱,lezhin
10,러브 포엠,해연,해연,lezhin
11,주먹꾹,캐너피,캐너피,lezhin
12,사랑이라 생각하지 않아,스미야제니코,스미야제니코,lezhin
13,사람의 사이로,김보통,김보통,lezhin
14,미성년,히눈,히눈,lezhin
15,바퀴멘터리,박바퀴,박바퀴,lezhin
16,4컷용사,고지라군,고지라군,lezhin
17,오타쿠에게 사랑은 어려워,후지타,후지타,lezhin
18,레그널 트리거,kalma,kalma,lezhin
19,안티피티[개정판],이지피,이지피,lezhin
20,잘 자 내 꿈 꿔,이이런,이이런,lezhin
21,러브 오어 헤이트[개정판],박담,영하,lezhin
22,조만국박람회,조만국,조만국,lezhin
23,나의 수하[개정판],차현,차현,lezhin
24,인시크릿[개정판],이파도,이파도,lezhin
25,"시선 끝, 30도",소보로,여로,lezhin
26,구독한 식탁,눅쓰,눅쓰,lezhin
27,신데렐라 리미트,깨알,깨알,lezhin
28,용의 아들 최창식,임인스,임인스,lezhin
29,울프 인더 하우스[개정판],박지연,박지연,lezhin
30,노라줘요 -우리 집 웰시코기 이야기-,라쿠다,라쿠다,lezhin
31,그렇게 내가 싫다면[개정판],파고,파고,lezhin
32,보름달 식당,김보통,김보통,lezhin
33,연화,"스튜디오열일,스튜디오질풍","스튜디오열일,스튜디오질풍",lezhin
34,소꿉친구가 자꾸 괴롭혀!,NAKTA,NAKTA,lezhin
35,타치바나 백작,활기,활기,lezhin
36,단금지교,핑푸,핑푸,lezhin
37,바퀴멘터리,박바퀴,박바퀴,lezhin
38,배달부들,우주,우주,lezhin
39,LOVE WINS,목도리,목도리,lezhin
40,머쉬룸 스프,부발,부발,lezhin
41,왓치가이,ASURA,마사토끼,lezhin
42,꼴데툰 2021,샤다라빠,샤다라빠,lezhin
43,달의 상자,김달,김달,lezhin
44,국제결혼 절대로 하지 마라,쑤,쑤,lezhin
45,킹스메이커,"강지영,하가","강지영,하가",lezhin
46,피장파장의 오류,나뭇,나뭇,lezhin
47,1미터 사이,김병관,이은정,lezhin
48,차린 건 없지만,심모람,심모람,lezhin
49,니 친구 김저키,김저키,김저키,lezhin
50,바람,반메,반메,lezhin
51,풀스 리마스터,박담,영하,lezhin
52,4와 2분의 1 정거장,팀만나,팀만나,lezhin
53,주인의 사정[개정판],WAJE,찐밤,lezhin
54,꽃점 봐 드립니다,주은,주은,lezhin
55,비 갠 뒤 우리들을 따라,라쿠타쇼코,라쿠타쇼코,lezhin
56,살맛 : 전생에 나라를 구했습니다[개정판],스튜디오스텔라즈,스튜디오스텔라즈,lezhin
57,Teach Me!,뉴라,뉴라,lezhin
58,삐딱한 기억 사전,김팍새,김팍새,lezhin
59,바리데기 별자국,김보통,김보통,lezhin
60,한여름 밤의 꿈,룡키,박연조,lezhin
61,아이싱,스튜디오웨이브,스튜디오웨이브,lezhin
62,바퀴멘터리,박바퀴,박바퀴,lezhin
63,바나나툰,와나나,와나나,lezhin
64,히어로즈 플랜비,인디고,인디고,lezhin
65,집사랑,김첨지,김첨지,lezhin
66,돌아올 땐 해일같이,티오비,티오비,lezhin
67,이름 없는 가게,하몽,하몽,lezhin
68,꼴데툰 2021,샤다라빠,샤다라빠,lezhin
69,방과후에 3,권골수,권골수,lezhin
70,구최애로부터 비밀을 사수하라!,네치,선마,lezhin
71,소년이 소년에게,엠제이,엠제이,lezhin
72,일어나서 사랑을 시작해,토너진,토너진,lezhin
73,헌터의 약혼자로 살아남기,은나,서하,lezhin
74,아르카나 판타지,포엠,유희,lezhin
75,보름달 식당,김보통,김보통,lezhin
76,전설의 과학도들,김보통,김보통,lezhin
77,레바툰,레바,레바,lezhin
78,A와 B의 초상,두긍,두긍,lezhin
79,매드 독,하리보,하리보,lezhin
80,바퀴멘터리,박바퀴,박바퀴,lezhin
81,나는 너의 귀여운 카피캣!,마롭-믹,마롭-믹,lezhin
82,하루종일 조아영,김맹,김맹,lezhin
83,친하게 지내자,영일,영일,lezhin
84,2주간 재워주세요,은하이,은하이,lezhin
85,블랙보이,노커,노커,lezhin
86,삼국지 가후전 R,입개,마사토끼,lezhin
87,에로만화부!,Canaria,공란,lezhin
88,천사의 용도,공사,공사,lezhin
89,라온의 남자,릴리,릴리,lezhin
90,꼴데툰 2021,샤다라빠,샤다라빠,lezhin
91,나와 호랑이님,윤재호,원작카넬,lezhin
92,황룡전 [개정판],오늘만사는형제,오늘만사는형제,lezhin
93,조만국박람회,조만국,조만국,lezhin
94,사랑이라 하기엔 기분 나빠,모구스,모구스,lezhin
95,마들레느가 9번지,진혜리,진혜리,lezhin
96,주먹꾹,캐너피,캐너피,lezhin
97,제 3 경호팀,카리보,카리보,lezhin
98,조만국의 영화캠프,조만국,조만국,lezhin
99,심펭져스,김보통,김보통,lezhin
100,킬러가 사랑에 빠졌을 때,에레세모,에레세모,lezhin
101,클라우드,김파스,김파스,lezhin
102,BJ 엘프의 요리 채널,변태너구리,변태너구리,lezhin
103,불멸의 날들,허긴개,허긴개,lezhin
104,백억년을 자는 남자,수사반장,수사반장,lezhin
105,꼴데툰 2021,샤다라빠,샤다라빠,lezhin
106,데우스 바드 마키나 2 : 선택받은 잡것,죽은고양이,폴빠,lezhin
107,무명의 등불,이재,이재,lezhin
108,메리 고 라운드,나솔,나솔,lezhin
109,내가 원하는 건,정,정,lezhin
110,차린 건 없지만,심모람,심모람,lezhin
111,"꽃은 꽃으로, 잎은 잎으로",해표,골지,lezhin
112,최강! 중2병 그녀,영식,영식,lezhin
113,작전본부: 우리 집,청혈구,청혈구,lezhin
114,한여름 밤의 꿈,룡키,박연조,lezhin
115,천지해,핑푸,핑푸,lezhin
116,정당한 기만,진5,진5,lezhin
117,여우비 내리는 날에,이하안,우시목,lezhin
118,부랄친구,한라감귤,한라감귤,lezhin
119,꼴데툰 2021,샤다라빠,샤다라빠,lezhin
120,아버지의 집밥,고리타,고리타,lezhin
121,명동젠틀맨,직가,미스와플,lezhin
122,달토끼와 안드로이드,뉴꼬,개호주,lezhin
123,펀칭머신,늴릴,늴릴,lezhin
124,타임라인,헛둘,헛둘,lezhin
125,기절소녀 하나미!,호이,호이,lezhin
126,데스크레센도,턱시도펭귄,빌뱅,lezhin
127,안아줄게 (Burn It),westdogalcohol,HYEYA,lezhin
128,제5열 Born to kill,스튜디오웨이브,원작김성종,lezhin
129,상상당 한의원,서영애,서영애,lezhin
130,박씨유대기,슬라정,슬라정,lezhin
131,표준규격전사,오솟,오솟,lezhin
132,던전 속 사정[개정판],레바,레바,lezhin
133,지젤 씨의 피[개정판],이연지,이연지,lezhin
134,도깨비도 수풀이 있어야 모인다[개정판],신,신,lezhin
135,포젯션,Happykwak,Happykwak,lezhin
136,비 마이 게스트[개정판],영모,티오비,lezhin
137,FREAK-QUENCY : 프릭-퀀시,Sakon,Xero,lezhin
